LAT;LONG;FULL_NAME_RG
10.366667;-12.533333;Hérémakono
9.9;-11.066667;Hérémakono
11.35;-10.183333;Héréko
10.683333;-14.433333;Singuila
10.9;-12.983333;Singuéléma
8.683333;-9.633333;Singuéga
8.764444;-10.452778;Singuedou
8.509167;-9.671667;Singuebédou
9.533333;-12.833333;Singandé
9.05;-8.666667;Sénédougou
9.05;-8.666667;Sinédougou
9.266667;-8.716667;Bohoko
8.866667;-10.233333;Balédou
11.95;-10.866667;Baléa
10.4;-12.366667;Baléha
10.4;-12.366667;Baléa
11.983333;-10.95;Baléa
12.216667;-10.333333;Balé
9.866667;-9.716667;Balé
9.533333;-10.016667;Baldou
10.933333;-10.933333;Balayan, Massif de
10.233333;-13.633333;Ouani
10.233333;-13.633333;Wani
9.45;-10.75;Souroukoufaran
9.15;-9.05;Souroukou Dingara
11.566667;-10.583333;Sourougambé, Fello
11.566667;-10.583333;Sourougambé
11.516667;-10.216667;Dakaloli
11.133333;-10.7;Dakadougoué
9.133333;-9.85;Dakadou
8.962778;-9.639722;Dakadou
8.938333;-10.2625;Dakadou
8.583333;-10.166667;Dakadou
11.6;-10.833333;Daka Bantan
11.816667;-10.5;Dakabali, Fello
11.066667;-10.866667;Dakabaïrol
9.366667;-9.566667;Dagbizi
8.716667;-8.633333;Dagbano
11.933333;-10.883333;Dagaguilé, Bowal
10.35;-10.25;Dafolokoura
10.7;-11.266667;Dafila
8.116667;-8.166667;Médina
9.3;-13.033333;Mahankouré
9.3;-13.033333;Méankouré
8.55;-8.416667;Goueïa Rivière
8.55;-8.416667;Mbôo
12.5;-13.15;Mbasséné
9.266667;-9.25;Mazano
12.35;-13.35;Mazanki
10.116667;-13.983333;Mayoundé
10.116667;-13.983333;Mauende
10.116667;-13.983333;Maouendé
10.116667;-13.983333;Mahoundé
10.116667;-13.983333;Mayande
11.366667;-14.483333;Maé Mael
11.366667;-14.483333;Mahé Mayel
11.366667;-14.483333;M?e Moel
11.366667;-14.483333;Maé Mael, Rio
11.366667;-14.483333;Maèl
11.366667;-14.483333;Mai Mael, Rio
11.366667;-14.483333;Mayel Mayel
11.966667;-10.866667;Mayéléa
11.616667;-14.216667;Mayel Bani
11.616667;-14.216667;Mael Bane, Rio
11.616667;-14.216667;Mahel Bani
8.925278;-9.028056;Mathénian Baladou
8.925278;-9.028056;Baladou
9.566667;-13.633333;Mattam
9.566667;-13.633333;Matam
9.266667;-13.416667;Matakong
9.2;-10.366667;Bend
8.6;-9.866667;Bèmélassou
10.066667;-11.866667;Bambénia
10.066667;-11.866667;Bembénia
9.1;-13.283333;Bellansang, Pointe
9.1;-13.283333;Bellangsang, Pointe
11.1;-10.45;Bélinkoro
10.15;-10.233333;Bilinkoro
10.15;-10.233333;Bélinkoro
11.283333;-10.916667;Bélia
9.983333;-11.9;Beli
8.666667;-8.033333;Kourouna
9.016667;-9.366667;Kourou-Kourou
10.916667;-10.75;Kouroukoro
10.916667;-10.75;Kourokoro
10.916667;-10.75;Kouroukoto
10.916667;-10.75;Koukoukoto
9.2;-8.033333;Kouroukoro
9.833333;-8.1;Kourou Kelé
9.833333;-8.1;Kourou Kellé
10.983333;-11.733333;Kolen
11.7;-11.55;Kolé Boubé, Fello
