LAT;LONG;FULL_NAME_ND_RO;;;;;;;;;;;;;;;;;;;;;;;;;;
15.066667;-16.3;Ndiolbe;;;;;;;;;;;;;;;;;;;;;;;;;;
16.143611;-16.301667;NdiolNar;;;;;;;;;;;;;;;;;;;;;;;;;;
16.143611;-16.301667;Ndiol;;;;;;;;;;;;;;;;;;;;;;;;;;
16.143611;-16.301667;Ndiollo;;;;;;;;;;;;;;;;;;;;;;;;;;
14.266667;-16.683333;Ndiol;;;;;;;;;;;;;;;;;;;;;;;;;;
15.216667;-16.283333;Ndiok Thiam;;;;;;;;;;;;;;;;;;;;;;;;;;
15.216667;-16.283333;N'Diok;;;;;;;;;;;;;;;;;;;;;;;;;;
14.016667;-15.833333;Medina;;;;;;;;;;;;;;;;;;;;;;;;;;
13.716667;-15.866667;Medna;;;;;;;;;;;;;;;;;;;;;;;;;;
13.716667;-15.866667;Medina;;;;;;;;;;;;;;;;;;;;;;;;;;
12.55;-16.816667;Passe Mediane;;;;;;;;;;;;;;;;;;;;;;;;;;
12.55;-16.816667;Middle Pass;;;;;;;;;;;;;;;;;;;;;;;;;;
14.766667;-16.566667;Mdogone;;;;;;;;;;;;;;;;;;;;;;;;;;
15.033333;-16.75;Mdifif;;;;;;;;;;;;;;;;;;;;;;;;;;
15.033333;-16.75;N'Difif;;;;;;;;;;;;;;;;;;;;;;;;;;
16.030278;-15.959167;Brar;;;;;;;;;;;;;;;;;;;;;;;;;;
16.030278;-15.959167;Mbrar;;;;;;;;;;;;;;;;;;;;;;;;;;
12.8;-14.933333;Sare Samboudian;;;;;;;;;;;;;;;;;;;;;;;;;;
13.533333;-15.066667;Sare Sambel;;;;;;;;;;;;;;;;;;;;;;;;;;
12.75;-15.1;Sare Sambatako;;;;;;;;;;;;;;;;;;;;;;;;;;
13.05;-14.383333;Sare Sambana;;;;;;;;;;;;;;;;;;;;;;;;;;
12.95;-14.866667;Sare Samba Kayogo;;;;;;;;;;;;;;;;;;;;;;;;;;
13.716667;-14.066667;Sare Sambadiouka;;;;;;;;;;;;;;;;;;;;;;;;;;
12.933333;-14.216667;Sare Samba Dioka;;;;;;;;;;;;;;;;;;;;;;;;;;
12.75;-14.716667;Sare Samba Dibel;;;;;;;;;;;;;;;;;;;;;;;;;;
12.703611;-15.056944;Sare Samba Diamaka;;;;;;;;;;;;;;;;;;;;;;;;;;
12.983333;-14.916667;Sare Samba Diaboukoye;;;;;;;;;;;;;;;;;;;;;;;;;;
12.833056;-16.221667;Boutolate;;;;;;;;;;;;;;;;;;;;;;;;;;
12.833056;-16.221667;Boutolat;;;;;;;;;;;;;;;;;;;;;;;;;;
14.216667;-16.3;Boutie;;;;;;;;;;;;;;;;;;;;;;;;;;
12.644444;-16.405278;Bouteme;;;;;;;;;;;;;;;;;;;;;;;;;;
12.644444;-16.405278;Boutem;;;;;;;;;;;;;;;;;;;;;;;;;;
12.602778;-16.421944;Boutem;;;;;;;;;;;;;;;;;;;;;;;;;;
12.602778;-16.421944;Bouteme;;;;;;;;;;;;;;;;;;;;;;;;;;
12.705556;-16.453611;Boutegol;;;;;;;;;;;;;;;;;;;;;;;;;;
14.9;-15.933333;Boutboul;;;;;;;;;;;;;;;;;;;;;;;;;;
12.833333;-14.983333;Boussoura;;;;;;;;;;;;;;;;;;;;;;;;;;
12.933056;-16.610556;Bourounkounie;;;;;;;;;;;;;;;;;;;;;;;;;;
12.933056;-16.610556;Bouroukounkounie;;;;;;;;;;;;;;;;;;;;;;;;;;
12.866667;-15.983333;Bouroun;;;;;;;;;;;;;;;;;;;;;;;;;;
13.166667;-13.966667;Bouroukounda;;;;;;;;;;;;;;;;;;;;;;;;;;
13.166667;-13.966667;Bouroucounda;;;;;;;;;;;;;;;;;;;;;;;;;;
13.283333;-15.216667;Bourouko;;;;;;;;;;;;;;;;;;;;;;;;;;
13.283333;-15.216667;Bourounkou Temento;;;;;;;;;;;;;;;;;;;;;;;;;;
13.283333;-15.216667;Bourouka;;;;;;;;;;;;;;;;;;;;;;;;;;
13.283333;-15.216667;Bourounko Temento;;;;;;;;;;;;;;;;;;;;;;;;;;
13.433333;-13.666667;Madina Yero;;;;;;;;;;;;;;;;;;;;;;;;;;
13.066667;-16.683333;Konkoudia;;;;;;;;;;;;;;;;;;;;;;;;;;
14.183333;-15.983333;Kongoli;;;;;;;;;;;;;;;;;;;;;;;;;;
12.733333;-16.05;Kongoli;;;;;;;;;;;;;;;;;;;;;;;;;;
14.4;-16.45;Konem;;;;;;;;;;;;;;;;;;;;;;;;;;
14.4;-16.45;Goneme;;;;;;;;;;;;;;;;;;;;;;;;;;
14.133333;-15.983333;Parasse;;;;;;;;;;;;;;;;;;;;;;;;;;
14.133333;-15.983333;Parassel;;;;;;;;;;;;;;;;;;;;;;;;;;
14.2;-16.05;Paou Paou;;;;;;;;;;;;;;;;;;;;;;;;;;
12.733333;-13.75;Paoumka;;;;;;;;;;;;;;;;;;;;;;;;;;
13.783333;-15.816667;Povoskoto;;;;;;;;;;;;;;;;;;;;;;;;;;
13.783333;-15.816667;Paoskoto;;;;;;;;;;;;;;;;;;;;;;;;;;
14.516667;-13.35;Pantiangniedie;;;;;;;;;;;;;;;;;;;;;;;;;;
14.516667;-13.35;Pantiagniedie;;;;;;;;;;;;;;;;;;;;;;;;;;
14.083333;-14.083333;Foret Classee des Paniates;;;;;;;;;;;;;;;;;;;;;;;;;;
14.083333;-14.083333;Foret des Paniates;;;;;;;;;;;;;;;;;;;;;;;;;;
13.966667;-14.066667;Paniat Diaobe;;;;;;;;;;;;;;;;;;;;;;;;;;
13.966667;-14.066667;Paniat Boure;;;;;;;;;;;;;;;;;;;;;;;;;;
13.633333;-15.916667;Foret Classee de Pane;;;;;;;;;;;;;;;;;;;;;;;;;;
13.75;-16.016667;Pane;;;;;;;;;;;;;;;;;;;;;;;;;;
14.633333;-16.55;Bakopone;;;;;;;;;;;;;;;;;;;;;;;;;;
14.633333;-16.55;Bakapoum;;;;;;;;;;;;;;;;;;;;;;;;;;
12.483333;-16.366667;Katio;;;;;;;;;;;;;;;;;;;;;;;;;;
12.987222;-16.310833;Katinong;;;;;;;;;;;;;;;;;;;;;;;;;;
13.816667;-16.25;Katim Gueye;;;;;;;;;;;;;;;;;;;;;;;;;;
12.583333;-16.271944;Zighinkor;;;;;;;;;;;;;;;;;;;;;;;;;;
12.583333;-16.271944;Zinguinhor;;;;;;;;;;;;;;;;;;;;;;;;;;
12.583333;-16.271944;Ziguinchor;;;;;;;;;;;;;;;;;;;;;;;;;;
12.583333;-16.271944;Zigiunchor;;;;;;;;;;;;;;;;;;;;;;;;;;
12.583333;-16.266667;Ziguinchor;;;;;;;;;;;;;;;;;;;;;;;;;;
12.55;-16.266667;Ziguinchor;;;;;;;;;;;;;;;;;;;;;;;;;;
15.2;-16.3;Yoye;;;;;;;;;;;;;;;;;;;;;;;;;;
14.65;-16.95;Golfangning;;;;;;;;;;;;;;;;;;;;;;;;;;
14.65;-16.95;Ngolfonie;;;;;;;;;;;;;;;;;;;;;;;;;;
13.9;-16.75;Bolon Gokehor;;;;;;;;;;;;;;;;;;;;;;;;;;
13.9;-16.75;Marigot de Gokhor;;;;;;;;;;;;;;;;;;;;;;;;;;
14.8;-16.45;Gokare Sao;;;;;;;;;;;;;;;;;;;;;;;;;;
14.6;-16.016667;Gohe;;;;;;;;;;;;;;;;;;;;;;;;;;
12.666389;-16.770278;Ile de la Goelette;;;;;;;;;;;;;;;;;;;;;;;;;;
14.533333;-16.75;Godaguene;;;;;;;;;;;;;;;;;;;;;;;;;;
14.6;-16;Gobe;;;;;;;;;;;;;;;;;;;;;;;;;;
13.933333;-15.883333;Gobak;;;;;;;;;;;;;;;;;;;;;;;;;;
13.933333;-15.883333;Goback;;;;;;;;;;;;;;;;;;;;;;;;;;
14.666667;-16.016667;Ngao;;;;;;;;;;;;;;;;;;;;;;;;;;
14.666667;-16.016667;Goane;;;;;;;;;;;;;;;;;;;;;;;;;;
14.8;-16.15;Ndiogop;;;;;;;;;;;;;;;;;;;;;;;;;;
15.25;-16.666667;Dogol;;;;;;;;;;;;;;;;;;;;;;;;;;
15.25;-16.666667;Ndiogol Dieng;;;;;;;;;;;;;;;;;;;;;;;;;;
14.633333;-14.983333;Ndiodori;;;;;;;;;;;;;;;;;;;;;;;;;;
14.083333;-13.733333;Souro Beli;;;;;;;;;;;;;;;;;;;;;;;;;;
13.6;-13.866667;Souriel;;;;;;;;;;;;;;;;;;;;;;;;;;
13.6;-13.866667;Souriel Salif;;;;;;;;;;;;;;;;;;;;;;;;;;
13.6;-13.866667;Souriel Koussaye;;;;;;;;;;;;;;;;;;;;;;;;;;
13.05;-13.766667;Souriel Ndiobo;;;;;;;;;;;;;;;;;;;;;;;;;;
