LAT;LONG;FULL_NAME_RO
6.7;.666667;Voméno Kopé
6.7;.666667;Omono Kopé
6.333333;1.266667;Vogan
7.1;1.466667;Roupatchi
9.816667;1.316667;Bam
10.116667;1.083333;Bako Touga
9.45;1.316667;Katiola
7.216667;.833333;Kataré
8.95;1.166667;Katammbara
8.95;1.166667;Katambara
10.066667;.416667;Kassori
6.566667;.9;Tovégan
6.566667;.9;Towégá
6.566667;.9;Tovéga
6.566667;.9;Tové
6.566667;.9;Towé
6.566667;.9;Tavéga
6.583333;1.083333;Toutou Kopé
6.583333;1.083333;Nyita
10.333333;.566667;Tountionga
10.95;.116667;Dontougou
10.8;.85;Donié
9.533333;.25;Dondonné
9.616667;.8;Lanké
6.233333;1.6;Landjo
10.883333;.05;Kariata
9.216667;1.116667;Karabuisi
9.551111;1.186111;Lama-Kara
9.551111;1.186111;Lama
9.551111;1.186111;Kara
7.55;.933333;Forêt d’ Ola
7.616667;1.016667;Okpahoui
7.616667;1.016667;Okpahoué
6.333333;1.683333;Gbobo Kopé
6.333333;1.683333;Yovo Kondji
10.933333;.033333;Gbétou
7.1;.733333;Gbémé
7.1;.733333;Bémé
6.583333;1.1;Djogbékopé
6.266667;1.033333;Djodjé
6.383333;1.366667;Labavi Kopé
7.183333;.75;Kramakpa
7.133333;1.45;Kpoutoé
10.033333;.6;Kango
7.633333;.966667;Ofoabé
8.483333;1.316667;Odonko
8.066667;1.7;Odiou
7.816667;1.1;Obia
6.816667;.883333;Messiobé
6.816667;.883333;Messlobé
7.933333;1.55;Afagomé
9.9;.8;Taréka
10.033333;1.3;Tapouennta
10.033333;1.3;Tapouenta
10.933333;.183333;Tantouatré
6.666667;.65;Nitoué
6.666667;.65;Zoukpé
6.666667;.65;Nyite
6.666667;.65;Njitoé
6.666667;.65;Nyitoé-Zoukpé
6.666667;.65;Nyitoé
10.633333;.25;Moumouané
10.633333;.25;Momoané
9.65;.983333;Forêt Classée du Mont Koularo
7.2;.933333;Forêt Classée du Mont Haïto
6.65;1.6;Adabyaou
6.65;1.6;Adabiam
10;1.116667;Titira
9.616667;.966667;Tioudou
9.966667;.75;Tiofolèmpo
9.333333;.95;Tinha
10.666667;.25;Djabili
10.683333;.266667;Djabargou
9.783333;.6;Diotaoul
9.316667;.65;Dijioyeri
9.316667;.65;Didyoyéri
7.916667;1.183333;Kablikodji
9.45;.916667;Kabanda
8.133333;.816667;Jibia
7.85;1.1;Palakokokopé
10.9;.75;Pakounga
7.533333;1.35;Atomé Atchiné
6.666667;.966667;Atiyi
10.933333;.133333;Naboulpiou
10.9;.233333;Nabonton
10.183333;.833333;Nabi
10.966667;.65;Konpiéna
6.3;1.633333;Anamé
7.35;1.2;Ouglé
7.35;1.2;Amoutchou
7.35;1.2;Ouwí
7.35;1.2;Amutschú
7.35;1.2;L’Ouglé
6.633333;1.516667;Amosimé
6.633333;1.516667;Amoussimé
10.883333;.433333;Tantangou
10.633333;0;Mont Tankbamon
7.35;1.15;Yakoubokopé
7.35;1.15;Yacoubokopé
10.733333;.666667;Yagou
7.716667;.65;Yadé
7.416667;1.016667;Satito
8.6;1.266667;Sassa
10.133333;.633333;Kountouri
