LAT;LONG;NAME
10.872599;3.400385;SANA
10.749769;3.058886;SANE
10.270673;3.292219;SANEGADO
10.717438;3.588572;SAONZI
10.717438;3.588572;SALONZI
10.751926;3.592527;SAOUBEZE
10.914167;3.76812;BELE
10.97432;3.504546;BATEFE
10.321136;3.329943;BAGASSI
10.321136;3.329943;BAGAZI
10.973857;3.498614;BEKOURONA
10.973857;3.498614;GBENKOUROUNA
10.966898;3.569287;BELA
10.756472;3.689496;BENENA
10.756472;3.689496;GBENENA
10.850848;3.104006;BENOA
10.609271;3.692681;BEOSSA
10.358937;3.257165;BEOUROUKPAROU
10.744916;3.556241;BEPOUNA
10.387416;3.497997;BEPOUO
10.178634;3.241141;BEROUBASSI
10.274397;3.154854;BEROUBASSI
10.384526;3.468243;GBESSASSI
10.384526;3.468243;BESSASSI
10.356729;3.504777;BESSASSIGANDO
10.356729;3.504777;BESSASIGANDO
10.885876;3.554237;BESSE
10.885876;3.554237;GBESSE
10.672779;3.32378;BESSOIN
10.672779;3.32378;GBESSOUIN
10.314664;3.530868;BEWANA
10.314664;3.530868;BEOUANA
10.709734;3.722676;BIANTIN
10.002003;3.454623;BIDA
10.908089;3.5915;BINSEOUL
10.456258;3.093884;WENA
10.456258;3.093884;OUENA
10.94592;3.458776;WARANDJI
10.94592;3.458776;OUARENZI
10.94592;3.458776;OUARANDJI
10.94592;3.458776;WARANJI
10.72848;3.524141;SAOUNA
10.301387;3.482255;SASSI
10.9264;3.239496;SASSOUANA
10.52586;3.549692;SEBANA
10.927932;3.694443;SEGBANA
10.460192;3.721879;SEKAI
10.620619;3.821673;SELIKITI
10.79299;3.466821;SEREBANI
10.828865;3.471059;SEREKIBE
10.343837;3.038649;SESSAMA
10.692373;3.501849;SIKO
10.653852;3.394607;SIKO
10.343914;3.387185;SINA
10.316205;3.3396;SODEMI
10.800462;3.085721;SOINGUINA
10.663817;3.376169;SOISSARE
10.602928;3.257935;SOKASSINA
10.225277;3.304259;ARODORO
10.477763;3.756055;RIVERANIA
10.477763;3.756055;ANIA
10.487208;3.75928;RIVERJIATIN
10.487208;3.75928;JIATIN
10.169672;3.277555;BIOKAO
10.281698;3.127925;BLEMI
10.268146;3.114903;BLEMI
10.250462;3.123601;BLEMIGANDO
10.368747;3.217669;BOA
10.368747;3.217669;BUA
10.368747;3.217669;BOUA
10.794916;3.534181;BOBENA
10.794916;3.534181;BOBENE
10.137648;3.198614;BOLOUNDE
10.355496;3.028095;BONADAROU
10.068901;3.291911;BONKOU
10.570904;3.56921;BONSANA
10.699538;3.629481;BOUALANGOGOLDAWI
10.699538;3.629481;BOULALANGOGOLDAOUI
10.215358;3.131638;BUKA
10.215358;3.131638;BOUKA
10.215358;3.131638;BOUCA
